record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat,passenger_id,passenger_gender,passenger_age,passenger_nationality,booking_datetime,sales_channel,payment_method,ticket_price,currency,ticket_price_usd_est,bags_total,bags_checked
1,FR,Ryanair,FR5515,MEX,GUA,20/01/2024 10:14,20/01/2024 13:24,185,ON_TIME,0,B739,ECONOMY,37F,77e21f8e-6e79-4504-905f-636cea932c06,M,40,PE,15/01/2024 10:09,APP,EFECTIVO,"77,60",USD,77.6,0,0
2,AV,Avianca,AV1170,SAP,jfk,22/12/2024 20:18,,,CANCELLED,,CRJ9,ECONOMY,,d44ad2a6-091a-49b9-841a-647f006c6f7b,M,42,CU,03/10/2024 08:42,APP,TARJETA,138.8,USD,138.8,1,0
3,IB,Iberia,IB2267,PTY,BOG,18/06/2025 12:16,18/06/2025 17:50,330,ON_TIME,0,A320,PREMIUM_ECONOMY,11B,4662a840-f754-403a-9eab-887d5f56b6f7,F,30,PE,14/05/2025 10:03,AEROPUERTO,TRANSFERENCIA,101.3,USD,101.3,1,0
4,DL,Delta,DL8318,HAV,MIA,12/06/2025 13:05,12/06/2025 17:20,261,ON_TIME,0,A319,ECONOMY,30E,3c53aed2-156e-44e1-9181-9e84437171dc,X,54,GT,03-15-2025 01:58 PM,AEROPUERTO,TRANSFERENCIA,106.55,GTQ,13.64,1,0
5,WN,Southwest,WN6538,GUA,SAL,04/10/2025 05:08,10/04/2025 08:59,210,ON_TIME,0,B767,BUSINESS,10C,273782b1-130d-4e4b-a947-b75769bfaeb5,M,27,CR,30/03/2025 02:22,CALL_CENTER,TARJETA,216.66,EUR,236.16,1,0
6,UA,United,UA6940,JFK,SAL,19/02/2024 17:31,02-19-2024 09:00 PM,218,ON_TIME,0,A320,ECONOMY,23A,90b4a7b6-1f3f-4bf6-aeac-4d287d964c71,F,27,GT,01-20-2024 02:34 PM,WEB,TRANSFERENCIA,69.2,USD,69.2,1,0
7,AA,AMERICAN AIRLINES,AA2698,SAL,MEX,08/11/2024 17:24,09/11/2024 01:09,417,DELAYED,37,B738,ECONOMY,22E,6e91fd6c-62ce-4182-8944-dfee8c09fa8b,Masculino,37,MX,10/03/2024 03:09,WEB,PAYPAL,41.69,MXN,2.42,2,1
8,IB,IBERIA,IB9486,MAD,PTY,25/06/2025 01:24,25/06/2025 08:48,419,ON_TIME,0,B757,ECONOMY,22C,5e00afce-4c97-45aa-9dd7-114ade2b6ba4,X,11,CR,21/03/2025 08:21,AGENCIA,TARJETA,"66,90",USD,66.9,1,0
9,AM,AEROMEXICO,AM0129,JFK,PTY,06/07/2024 15:40,06/07/2024 22:17,387,ON_TIME,0,E190,ECONOMY,37F,5ec2a176-1021-4c12-b192-f5a26c27d7be,M,20,SV,06/05/2024 01:01,AEROPUERTO,TARJETA,90.92,USD,90.92,1,0
10,IB,Iberia,IB1233,MEX,SAL,22/11/2025 01:26,22/11/2025 03:30,99,ON_TIME,0,A319,ECONOMY,22F,eba22d5a-5e7b-4dd9-b4f3-f9c0b5b359c5,M,22,CU,08/03/2025 16:54,CALL_CENTER,TRANSFERENCIA,49.68,MXN,2.88,2,1
11,B6,JetBlue,B64066,LIM,SAL,25/04/2024 00:40,04-25-2024 05:03 AM,265,ON_TIME,0,A321,ECONOMY,45A,e2c0910b-2c80-4069-a4ee-126d60a2fc49,M,53,US,29/01/2024 21:18,AEROPUERTO,PAYPAL,75.26,EUR,82.03,2,1
12,CM,Copa Airlines,CM5140,JFK,GUA,04/06/2024 00:18,04/06/2024 05:10,280,ON_TIME,0,A321,PREMIUM_ECONOMY,12B,7e4b4028-59eb-49e5-b69d-ed73dfcc6777,F,34,PE,21/04/2024 15:23,WEB,TRANSFERENCIA,66.78,USD,66.78,1,0
13,IB,Iberia,IB8978,GUA,SJO,04/07/2025 12:42,04/07/2025 17:00,268,ON_TIME,0,B737,PREMIUM_ECONOMY,12C,21e07948-ceca-4cf7-93ec-df4e955802df,M,26,CU,08/03/2025 02:03,AGENCIA,TARJETA,114.32,GTQ,14.63,1,0
